DR_NO,Status,Status Desc
190326475.0,AA,Adult Arrest
,IC,Invest Cont
,,
200907217.0,IC,Invest Cont
200412582.0,IC,Invest Cont
,,
200200759.0,IC,
201308739.0,IC,
201112065.0,AA,Adult Arrest
200121929.0,,Invest Cont
201215394.0,,Invest Cont
200406391.0,IC,
200114396.0,IC,Invest Cont
200912561.0,IC,
200207955.0,IC,
200112598.0,,
200905707.0,,Adult Other
200215463.0,IC,
,IC,
200606074.0,AA,
200517540.0,IC,
200506977.0,,Adult Arrest
,IC,Invest Cont
201000767.0,AA,Adult Arrest
200510354.0,IC,Invest Cont
,,Invest Cont
,,Invest Cont
201215562.0,IC,
200210168.0,IC,
200714301.0,,Invest Cont
,AO,
200218448.0,IC,Invest Cont
200618540.0,IC,
200316510.0,AO,Adult Other
200504009.0,AA,Adult Arrest
200808682.0,IC,Invest Cont
200810737.0,IC,
,,
,IC,Invest Cont
201107590.0,IC,Invest Cont
,IC,
200410224.0,IC,Invest Cont
,IC,Invest Cont
201106871.0,IC,
200111627.0,AA,Adult Arrest
200109800.0,,Invest Cont
,IC,
200309451.0,,
200211094.0,IC,
201212036.0,IC,Invest Cont
200914517.0,IC,
,,
,IC,Invest Cont
201116118.0,IC,Invest Cont
200716724.0,IC,Invest Cont
,IC,Invest Cont
,IC,
200810920.0,AO,
201112187.0,IC,
201212259.0,,
200918185.0,,Adult Arrest
200105289.0,IC,Invest Cont
200516527.0,IC,Invest Cont
200609101.0,,Adult Other
201210786.0,IC,
,AO,Adult Other
,AO,
200506268.0,,
200119908.0,,
200206940.0,IC,
200709456.0,IC,Invest Cont
,IC,Invest Cont
200117110.0,IC,
200610130.0,,Adult Arrest
,IC,Invest Cont
200210863.0,IC,Invest Cont
200911839.0,IC,
,IC,Invest Cont
200200760.0,IC,
201115543.0,IC,
200320615.0,IC,
200200724.0,,Adult Arrest
201007153.0,AA,
201308239.0,,Invest Cont
200506936.0,,Invest Cont
,,Adult Other
200310566.0,IC,Invest Cont
201222029.0,IC,Invest Cont
201211083.0,IC,Invest Cont
201209876.0,IC,Invest Cont
201009044.0,IC,Invest Cont
201110399.0,IC,Invest Cont
201307829.0,,Invest Cont
200311518.0,,Invest Cont
200304274.0,,Invest Cont
200119934.0,IC,Invest Cont
200814436.0,,Invest Cont
200316872.0,IC,Invest Cont
200911119.0,IC,Invest Cont
,AA,Adult Arrest
200410047.0,,
200312493.0,IC,Invest Cont
200513373.0,IC,Invest Cont
201220752.0,IC,Invest Cont
200318436.0,AA,Adult Arrest
,IC,Invest Cont
200214497.0,IC,Invest Cont
200805831.0,,Invest Cont
200616504.0,IC,Invest Cont
201309446.0,AA,Adult Arrest
200717189.0,IC,Invest Cont
200817626.0,,
201110326.0,IC,
201106089.0,,Adult Arrest
200106948.0,IC,Invest Cont
200806568.0,IC,Invest Cont
200212443.0,,Invest Cont
201216960.0,,Adult Arrest
200914159.0,AO,
201104052.0,AA,Adult Arrest
201007391.0,IC,Invest Cont
200906435.0,IC,Invest Cont
201114637.0,IC,Invest Cont
,,Invest Cont
200911049.0,IC,Invest Cont
200312753.0,,Invest Cont
200517895.0,,Adult Other
200321494.0,IC,Invest Cont
201012706.0,AA,Adult Arrest
201111473.0,IC,
200310910.0,AO,Adult Other
200609150.0,,Invest Cont
200118692.0,,Juv Arrest
,IC,Invest Cont
200917497.0,IC,Invest Cont
201011914.0,IC,Invest Cont
200613614.0,IC,
200307284.0,AO,Adult Other
,IC,Invest Cont
200516175.0,IC,Invest Cont
200408306.0,IC,Invest Cont
200517231.0,,Adult Other
200205286.0,IC,Invest Cont
201012938.0,AO,
200614026.0,AA,Adult Arrest
200122014.0,IC,
,IC,Invest Cont
200211325.0,IC,Invest Cont
,,Invest Cont
200512066.0,AA,Adult Arrest
,IC,Invest Cont
200306462.0,IC,Invest Cont
201215770.0,,Adult Arrest
,IC,Invest Cont
201008496.0,,Adult Other
200111454.0,,Invest Cont
200321686.0,,Adult Arrest
200308939.0,AO,
201007631.0,IC,Invest Cont
200813946.0,,
,AA,Adult Arrest
200122119.0,IC,Invest Cont
200304583.0,,Adult Other
,,
201207213.0,IC,Invest Cont
200809562.0,IC,Invest Cont
201108104.0,,
200116579.0,IC,
,IC,
,,Invest Cont
,IC,Invest Cont
201108147.0,AO,Adult Other
200808438.0,AA,Adult Arrest
201004548.0,,
201109103.0,IC,
200310106.0,IC,Invest Cont
201008883.0,AA,Adult Arrest
,AO,Adult Other
,IC,
201113281.0,IC,Invest Cont
200407198.0,AO,Adult Other
200104316.0,IC,
200815799.0,IC,Invest Cont
,IC,Invest Cont
,AA,
,IC,
201219692.0,IC,Invest Cont
200413464.0,AO,Adult Other
200713539.0,IC,
200120973.0,IC,
201108111.0,AO,Adult Other
200608531.0,IC,Invest Cont
200711738.0,,Invest Cont
200513966.0,IC,
200119228.0,AA,Adult Arrest
200409389.0,AO,Adult Other
200107228.0,IC,Invest Cont
200321313.0,AO,Adult Other
200109910.0,IC,Invest Cont
200705720.0,IC,Invest Cont
200912278.0,,Adult Other
200208642.0,IC,Invest Cont
200709141.0,IC,
,,
200707378.0,IC,
,IC,
201105686.0,IC,
,,
201014312.0,IC,
200217634.0,,
201212398.0,IC,Invest Cont
200505875.0,,Invest Cont
201221820.0,AO,
200715653.0,IC,Invest Cont
